temp,umid,press,ponto_orvalho,delta_pressao
31.2,60.0,1009.7,22.493600955592505,2.6
31.8,55.0,1009.3,21.622068631085824,-0.4
31.8,56.0,1008.1,21.917577703241193,-1.7
31.3,57.0,1006.7,21.743438605369573,-3.0
31.0,64.0,1006.4,23.373534120829074,-2.9
