variavel,lag_meses,lag_semanas_aprox,correlacao_com_casos
temp_media,0,0.0,-0.2516926436451763
temp_media,1,4.345,-0.2225118231391649
temp_media,2,8.69,-0.10030320831285588
temp_media,3,13.035,0.12929576172258064
temp_media,4,17.38,0.2660014562132323
temp_media,5,21.724999999999998,0.3492473718966524
temp_media,6,26.07,0.2793375923450775
umid_media,0,0.0,0.4002827124153598
umid_media,1,4.345,0.46864381713355746
umid_media,2,8.69,0.3733262763093707
umid_media,3,13.035,0.1339976552871711
umid_media,4,17.38,-0.0903182964856787
umid_media,5,21.724999999999998,-0.30618744532613046
umid_media,6,26.07,-0.4184523281930613
pres_media,0,0.0,-0.008492559848384231
pres_media,1,4.345,-0.2151643610737043
pres_media,2,8.69,-0.3204991303543449
pres_media,3,13.035,-0.37722846690178086
pres_media,4,17.38,-0.3593050936367183
pres_media,5,21.724999999999998,-0.2896333119120576
pres_media,6,26.07,-0.14210019765406473
chuva_acumulada,0,0.0,0.33225743373036737
chuva_acumulada,1,4.345,0.5200262575372615
chuva_acumulada,2,8.69,0.4929657904998949
chuva_acumulada,3,13.035,0.20460744525451396
chuva_acumulada,4,17.38,0.005682772247190963
chuva_acumulada,5,21.724999999999998,-0.17173316117427587
chuva_acumulada,6,26.07,-0.2778347479669181
