,temp_media,umid_media,total_arboviroses
temp_media,1.0,-0.677712001515986,-0.21823867797647203
umid_media,-0.677712001515986,1.0,0.346200514336079
total_arboviroses,-0.21823867797647203,0.346200514336079,1.0
